BIOCHEMICAL,refmet_name,super_class,main_class,sub_class,formula,exactmass,inchi_key,smiles,pubchem_cid
eicosane,Eicosane,Fatty Acyls,Hydrocarbons,Hydrocarbons,C20H42,282.328651,CBFCDTFDPHXCNY-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCC,8222.0
eicosapentaenoic acid,Eicosapentaenoic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C20H30O2,302.22458,,,
elaidic acid,Elaidic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C18H34O2,282.25588,ZQPPMHVWECSIRJ-MDZDMXLPSA-N,CCCCCCCC/C=C/CCCCCCCC(=O)O,637517.0
ethanolamine,Ethanolamine,Organic nitrogen compounds,Amines,"1,2-aminoalcohols",C2H7NO,61.052764,HZAXFHJVJLSVMW-UHFFFAOYSA-N,NCCO,700.0
Ethanolamine_ 3TMS derivative,Ethanolamine,Organic nitrogen compounds,Amines,"1,2-aminoalcohols",C2H7NO,61.052764,HZAXFHJVJLSVMW-UHFFFAOYSA-N,NCCO,700.0
galactitol,Galactitol,Carbohydrates,Monosaccharides,Sugar alcohols,C6H14O6,182.07904,FBPFZTCFMRRESA-GUCUJZIJSA-N,OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,11850.0
galactonic acid 2,Galactonic acid,Carbohydrates,Monosaccharides,Sugar acids,C6H12O7,196.058305,RGHNJXZEOKUKBD-MGCNEYSASA-N,O=C(O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,128869.0
galacturonic acid 1,Galacturonic acid,Carbohydrates,Monosaccharides,Sugar acids,C6H10O7,194.042655,IAJILQKETJEXLJ-RSJOWCBRSA-N,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O,84740.0
.gamma.-Tocopherol_ TMS derivative,gamma-Tocopherol,Prenol Lipids,Quinones and hydroquinones,Vitamin E,C28H48O2,416.36543,QUEDXNHFTDJVIY-DQCZWYHMSA-N,Cc1c(O)cc2c(c1C)O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2,92729.0
gluconic acid 2,Gluconic acid,Carbohydrates,Monosaccharides,Sugar acids,C6H12O7,196.058305,RGHNJXZEOKUKBD-SQOUGZDYSA-N,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,10690.0
Gluconic acid_ 2-methoxime_ tetra(trimethylsilyl)-_ trimethylsilyl ester,Gluconic acid,Carbohydrates,Monosaccharides,Sugar acids,C6H12O7,196.058305,RGHNJXZEOKUKBD-SQOUGZDYSA-N,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,10690.0
Glucose_ 5TMS derivative,Glucose,Carbohydrates,Monosaccharides,Hexoses,C6H12O6,180.06339,WQZGKKKJIJFFOK-GASJEMHNSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,5793.0
glycerol,Glycerol,Organic oxygen compounds,Alcohols and polyols,"1,2-diols",C3H8O3,92.047345,PEDCQBHIVMGVHV-UHFFFAOYSA-N,OCC(O)CO,753.0
glycerol 1-phosphate,sn-Glycero-3-phosphate,Organic acids,Organic phosphoric acids,Organic phosphoric acids,C3H9O6P,172.013678,AWUCVROLDVIAJX-GSVOUGTGSA-N,O=P(O)(O)OC[C@H](O)CO,439162.0
glycine,Glycine,Organic acids,Amino acids and peptides,Amino acids,C2H5NO2,75.032029,DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(=O)O,750.0
Glycine_ 2TMS derivative,Glycine,Organic acids,Amino acids and peptides,Amino acids,C2H5NO2,75.032029,DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(=O)O,750.0
Glycine_ TMS derivative,Glycine,Organic acids,Amino acids and peptides,Amino acids,C2H5NO2,75.032029,DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(=O)O,750.0
glycolic acid,Glycolic acid,Fatty Acyls,Fatty acids,Hydroxy FA,C2H4O3,76.016045,AEMRFAOFKBGASW-UHFFFAOYSA-N,O=C(O)CO,757.0
Glycolic acid_ 2TMS derivative,Glycolic acid,Fatty Acyls,Fatty acids,Hydroxy FA,C2H4O3,76.016045,AEMRFAOFKBGASW-UHFFFAOYSA-N,O=C(O)CO,757.0
guanosine 2,Guanosine,Nucleic acids,Purines,Purine ribonucleosides,C10H13N5O5,283.09167,NYHBQMYGNKIUIF-UUOKFMHZSA-N,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,135398635.0
Heneicosane,Heneicosane,Fatty Acyls,Hydrocarbons,Hydrocarbons,C21H44,296.344301,FNAZRRHPUDJQCJ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCC,12403.0
Heptacosane,Heptacosane,Fatty Acyls,Hydrocarbons,Hydrocarbons,C27H56,380.438201,BJQWYEJQWHSSCJ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCCCCCCCC,11636.0
heptadecanoic acid,Margaric acid,Fatty Acyls,Fatty acids,Saturated FA,C17H34O2,270.25588,KEMQGTRYUADPNZ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCC(=O)O,10465.0
Heptadecanoic acid_ glycerine-(1)-monoester_ bis-O-trimethylsilyl-,Margaric acid,Fatty Acyls,Fatty acids,Saturated FA,C17H34O2,270.25588,KEMQGTRYUADPNZ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCC(=O)O,10465.0
Hexadecane,Hexadecane,Fatty Acyls,Hydrocarbons,Hydrocarbons,C16H34,226.266051,DCAYPVUWAIABOU-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC,11006.0
hypoxanthine,Hypoxanthine,Nucleic acids,Purines,Hypoxanthines,C5H4N4O,136.038511,FDGQSTZJBFJUBT-UHFFFAOYSA-N,O=c1[nH]cnc2nc[nH]c12,135398638.0
inosine,Inosine,Nucleic acids,Purines,Purine ribonucleosides,C10H12N4O5,268.080771,UGQMRVRMYYASKQ-KQYNXXCUSA-N,OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O,135398641.0
Lactic Acid_ 2TMS derivative,Lactic acid,Organic acids,Short-chain acids,Short-chain acids,C3H6O3,90.031695,JVTAAEKCZFNVCJ-REOHCLBHSA-N,C[C@H](O)C(=O)O,107689.0
lactose 1,Lactose,Carbohydrates,Disaccharides,Disaccharides,C12H22O11,342.116215,GUBGYTABKSRVRQ-QKKXKWKRSA-N,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,440995.0
L-alanine 1,Alanine,Organic acids,Amino acids and peptides,Amino acids,C3H7NO2,89.047679,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C[C@H](N)C(=O)O,5950.0
L-alanine 2,Alanine,Organic acids,Amino acids and peptides,Amino acids,C3H7NO2,89.047679,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C[C@H](N)C(=O)O,5950.0
L-Alanine_ 2TMS derivative,Alanine,Organic acids,Amino acids and peptides,Amino acids,C3H7NO2,89.047679,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C[C@H](N)C(=O)O,5950.0
L-Alanine_ TMS derivative,Alanine,Organic acids,Amino acids and peptides,Amino acids,C3H7NO2,89.047679,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C[C@H](N)C(=O)O,5950.0
L-asparagine 2,Asparagine,Organic acids,Amino acids and peptides,Amino acids,C4H8N2O3,132.053493,DCXYFEDJOCDNAF-REOHCLBHSA-N,NC(=O)C[C@H](N)C(=O)O,6267.0
L-Asparagine_ 2TMS derivative,Asparagine,Organic acids,Amino acids and peptides,Amino acids,C4H8N2O3,132.053493,DCXYFEDJOCDNAF-REOHCLBHSA-N,NC(=O)C[C@H](N)C(=O)O,6267.0
lauric acid,Lauric acid,Fatty Acyls,Fatty acids,Saturated FA,C12H24O2,200.17763,POULHZVOKOAJMA-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)O,3893.0
L-cystine 1,Cystine,Organic acids,Amino acids and peptides,Amino acids,C6H12N2O4S2,240.023852,LEVWYRKDKASIDU-IMJSIDKUSA-N,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,67678.0
L-cystine 2,Cystine,Organic acids,Amino acids and peptides,Amino acids,C6H12N2O4S2,240.023852,LEVWYRKDKASIDU-IMJSIDKUSA-N,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,67678.0
L-cystine 3,Cystine,Organic acids,Amino acids and peptides,Amino acids,C6H12N2O4S2,240.023852,LEVWYRKDKASIDU-IMJSIDKUSA-N,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,67678.0
Leu-Trp_ N-trimethylsilyl-_ trimethylsilyl ester,Leu-Trp,Organic acids,Amino acids and peptides,Dipeptides,C17H23N3O3,317.173942,BQVUABVGYYSDCJ-ZFWWWQNUSA-N,CC(C)C[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,6992319.0
L-glutamic acid 1,Glutamic acid,Organic acids,Amino acids and peptides,Amino acids,C5H9NO4,147.053159,WHUUTDBJXJRKMK-VKHMYHEASA-N,N[C@@H](CCC(=O)O)C(=O)O,33032.0
L-glutamic acid 2,Glutamic acid,Organic acids,Amino acids and peptides,Amino acids,C5H9NO4,147.053159,WHUUTDBJXJRKMK-VKHMYHEASA-N,N[C@@H](CCC(=O)O)C(=O)O,33032.0
L-glutamic acid 3 (dehydrated),Glutamic acid,Organic acids,Amino acids and peptides,Amino acids,C5H9NO4,147.053159,WHUUTDBJXJRKMK-VKHMYHEASA-N,N[C@@H](CCC(=O)O)C(=O)O,33032.0
L-glutamine 1,Glutamine,Organic acids,Amino acids and peptides,Amino acids,C5H10N2O3,146.069143,ZDXPYRJPNDTMRX-VKHMYHEASA-N,NC(=O)CC[C@H](N)C(=O)O,5961.0
L-glutamine 2,Glutamine,Organic acids,Amino acids and peptides,Amino acids,C5H10N2O3,146.069143,ZDXPYRJPNDTMRX-VKHMYHEASA-N,NC(=O)CC[C@H](N)C(=O)O,5961.0
linoleic acid,Linoleic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C18H32O2,280.24023,OYHQOLUKZRVURQ-HZJYTTRNSA-N,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,5280450.0
L-(+) lactic acid,Lactic acid,Organic acids,Short-chain acids,Short-chain acids,C3H6O3,90.031695,JVTAAEKCZFNVCJ-REOHCLBHSA-N,C[C@H](O)C(=O)O,107689.0
L-leucine 2,Leucine,Organic acids,Amino acids and peptides,Amino acids,C6H13NO2,131.094629,ROHFNLRQFUQHCH-YFKPBYRVSA-N,CC(C)C[C@H](N)C(=O)O,6106.0
L-lysine 1,Lysine,Organic acids,Amino acids and peptides,Amino acids,C6H14N2O2,146.105528,KDXKERNSBIXSRK-YFKPBYRVSA-N,NCCCC[C@H](N)C(=O)O,5962.0
L-lysine 2,Lysine,Organic acids,Amino acids and peptides,Amino acids,C6H14N2O2,146.105528,KDXKERNSBIXSRK-YFKPBYRVSA-N,NCCCC[C@H](N)C(=O)O,5962.0
L-methionine 1,Methionine,Organic acids,Amino acids and peptides,Amino acids,C5H11NO2S,149.051051,FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCC[C@H](N)C(=O)O,6137.0
L-methionine 2,Methionine,Organic acids,Amino acids and peptides,Amino acids,C5H11NO2S,149.051051,FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCC[C@H](N)C(=O)O,6137.0
L-norleucine 1,Norleucine,Organic acids,Amino acids and peptides,Amino acids,C6H13NO2,131.094629,LRQKBLKVPFOOQJ-YFKPBYRVSA-N,CCCC[C@H](N)C(=O)O,21236.0
L-Phenylalanine_ 2TMS derivative,Phenylalanine,Organic acids,Amino acids and peptides,Amino acids,C9H11NO2,165.078979,COLNVLDHVKWLRT-QMMMGPOBSA-N,N[C@@H](Cc1ccccc1)C(=O)O,6140.0
L-proline 2,Proline,Organic acids,Amino acids and peptides,Amino acids,C5H9NO2,115.063329,ONIBWKKTOPOVIA-BYPYZUCNSA-N,O=C(O)[C@@H]1CCCN1,145742.0
L-Proline_ 2TMS derivative,Proline,Organic acids,Amino acids and peptides,Amino acids,C5H9NO2,115.063329,ONIBWKKTOPOVIA-BYPYZUCNSA-N,O=C(O)[C@@H]1CCCN1,145742.0
L-Proline_ TMS derivative,Proline,Organic acids,Amino acids and peptides,Amino acids,C5H9NO2,115.063329,ONIBWKKTOPOVIA-BYPYZUCNSA-N,O=C(O)[C@@H]1CCCN1,145742.0
L-serine 1,Serine,Organic acids,Amino acids and peptides,Amino acids,C3H7NO3,105.042594,MTCFGRXMJLQNBG-REOHCLBHSA-N,N[C@@H](CO)C(=O)O,5951.0
L-serine 2,Serine,Organic acids,Amino acids and peptides,Amino acids,C3H7NO3,105.042594,MTCFGRXMJLQNBG-REOHCLBHSA-N,N[C@@H](CO)C(=O)O,5951.0
L-Serine_ 2TMS derivative,Serine,Organic acids,Amino acids and peptides,Amino acids,C3H7NO3,105.042594,MTCFGRXMJLQNBG-REOHCLBHSA-N,N[C@@H](CO)C(=O)O,5951.0
L-threonine 1,Threonine,Organic acids,Amino acids and peptides,Amino acids,C4H9NO3,119.058244,AYFVYJQAPQTCCC-GBXIJSLDSA-N,C[C@@H](O)[C@H](N)C(=O)O,6288.0
L-threonine 2,Threonine,Organic acids,Amino acids and peptides,Amino acids,C4H9NO3,119.058244,AYFVYJQAPQTCCC-GBXIJSLDSA-N,C[C@@H](O)[C@H](N)C(=O)O,6288.0
L-tryptophan 2,Tryptophan,Organic acids,Amino acids and peptides,Amino acids,C11H12N2O2,204.089878,QIVBCDIJIAJPQS-VIFPVBQESA-N,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,6305.0
L-tyrosine 2,Tyrosine,Organic acids,Amino acids and peptides,Amino acids,C9H11NO3,181.073894,OUYCCCASQSFEME-QMMMGPOBSA-N,N[C@@H](Cc1ccc(O)cc1)C(=O)O,6057.0
L-valine 2,Valine,Organic acids,Amino acids and peptides,Amino acids,C5H11NO2,117.078979,KZSNJWFQEVHDMF-BYPYZUCNSA-N,CC(C)[C@H](N)C(=O)O,6287.0
L-Valine_ TMS derivative,Valine,Organic acids,Amino acids and peptides,Amino acids,C5H11NO2,117.078979,KZSNJWFQEVHDMF-BYPYZUCNSA-N,CC(C)[C@H](N)C(=O)O,6287.0
m-Cresol_ TMS derivative,m-Cresol,Benzenoids,Phenols,Other phenols,C7H8O,108.057515,RLSSMJSEOOYNOY-UHFFFAOYSA-N,Cc1cccc(O)c1,342.0
Methoxyamine_ TMS derivative,Methoxamine,Benzenoids,Benzenes,Other benzenes,C11H17NO3,211.120844,WJAJPNHVVFWKKL-UHFFFAOYSA-N,COc1ccc(OC)c(C(O)C(C)N)c1,6082.0
Methyl Caprate,Methyl decanoate,Fatty Acyls,Fatty esters,Wax monoesters,C11H22O2,186.16198,YRHYCMZPEVDGFQ-UHFFFAOYSA-N,CCCCCCCCCC(=O)OC,8050.0
Methyl galactoside_ 4TMS derivative,Methyl beta-D-galactoside,Carbohydrates,Monosaccharides,Hexoses,C7H14O6,194.07904,HOVAGTYPODGVJG-VOQCIKJUSA-N,CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,94214.0
Methyl Laurate,Methyl dodecanoate,Fatty Acyls,Fatty esters,Wax monoesters,C13H26O2,214.19328,UQDUPQYQJKYHQI-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)OC,8139.0
Methyl Myristate,Methyl tetradecanoate,Fatty Acyls,Fatty esters,Wax monoesters,C15H30O2,242.22458,ZAZKJZBWRNNLDS-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)OC,31284.0
methyl oleate,Methyl oleate,Fatty Acyls,Fatty esters,Wax diesters,C19H36O2,296.27153,QYDYPVFESGNLHU-KHPPLWFESA-N,CCCCCCCC/C=C\CCCCCCCC(=O)OC,5364509.0
Methyl Palmitate,Formyl hexadecanoate,Fatty Acyls,Fatty esters,Wax monoesters,C17H34O2,270.25588,FLIACVVOZYBSBS-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OC,8181.0
Methyl Stearate,Methyl stearate,Fatty Acyls,Fatty esters,Wax monoesters,C19H38O2,298.28718,HPEUJPJOZXNMSJ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OC,8201.0
Monolaurin_ 2TMS derivative,MG 12:0,Glycerolipids,Monoradylglycerols,MG,C15H30O4,274.21441,,,
myo-inositol,Myo-inositol,Organic oxygen compounds,Alcohols and polyols,Inositols,C6H12O6,180.06339,CDAISMWEOUEBRE-GPIVLXJGSA-N,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,892.0
Myristic Acid d27,Myristic acid,Fatty Acyls,Fatty acids,Saturated FA,C14H28O2,228.20893,TUNFSRHWOTWDNC-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)O,11005.0
N-acetyl-D-glucosamine 2,N-Acetyl-D-glucosamine,Carbohydrates,Monosaccharides,Amino sugars,C8H15NO6,221.089939,OVRNDRQMDRJTHS-RTRLPJTCSA-N,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,439174.0
N-Acetyl glucosamine methoxime_ tetrakis(trimethylsilyl),N-Acetyl-D-glucosamine,Carbohydrates,Monosaccharides,Amino sugars,C8H15NO6,221.089939,OVRNDRQMDRJTHS-RTRLPJTCSA-N,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,439174.0
Nonanoic acid_ TMS derivative,Pelargonic acid,Fatty Acyls,Fatty acids,Saturated FA,C9H18O2,158.13068,FBUKVWPVBMHYJY-UHFFFAOYSA-N,CCCCCCCCC(=O)O,8158.0
norvaline 2,Norvaline,Organic acids,Amino acids and peptides,Amino acids,C5H11NO2,117.078979,SNDPXSYFESPGGJ-SCSAIBSYSA-N,CCC[C@@H](N)C(=O)O,439575.0
Octadecane,Octadecane,Fatty Acyls,Hydrocarbons,Hydrocarbons,C18H38,254.297351,RZJRJXONCZWCBN-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC,11635.0
