BIOCHEMICAL,refmet_name,super_class,main_class,sub_class,formula,exactmass,inchi_key,smiles,pubchem_cid
succinic acid,Succinic acid,Organic acids,TCA acids,TCA acids,C4H6O4,118.02661,KDYFGRWQOYBRFD-UHFFFAOYSA-N,O=C(O)CCC(=O)O,1110.0
tagatose 1,Fructose,Carbohydrates,Monosaccharides,Hexoses,C6H12O6,180.06339,BJHIKXHVCXFQLS-UYFOZJQFSA-N,OCC1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O,5984.0
tetracosane,Lignocerane,Fatty Acyls,Hydrocarbons,Hydrocarbons,C24H50,338.391251,POOSGDOYLQNASK-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCCCCC,12592.0
Tetradecanoic acid_ triethylsilyl ester,Myristic acid,Fatty Acyls,Fatty acids,Saturated FA,C14H28O2,228.20893,TUNFSRHWOTWDNC-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)O,11005.0
Thiazolidine-2_5-dione,"1,3-Thiazolidine-2,5-dione",Organic acids,Amino acids and peptides,Amino acids,C3H3NO2S,116.988449,STHGEDCARBQXMJ-UHFFFAOYSA-N,O=C1CNC(=O)S1,542718.0
threonic acid,Threonic acid,Carbohydrates,Monosaccharides,Sugar acids,C4H8O5,136.037175,JPIJQSOTBSSVTP-STHAYSLISA-N,O=C(O)[C@H](O)[C@@H](O)CO,5460407.0
trans-4-hydroxy-L-proline 1,trans-4-Hydroxyproline,Organic acids,Amino acids and peptides,Amino acids,C5H9NO3,131.058244,PMMYEEVYMWASQN-DMTCNVIQSA-N,O=C(O)[C@@H]1C[C@@H](O)CN1,5810.0
trans-aconitic acid,trans-Aconitic acid,Organic acids,Carboxylic acids,Tricarboxylic acids,C6H6O6,174.01644,GTZCVFVGUGFEME-HNQUOIGGSA-N,O=C(O)/C=C(\CC(=O)O)C(=O)O,444212.0
tyrosine 1,Tyrosine,Organic acids,Amino acids and peptides,Amino acids,C9H11NO3,181.073894,OUYCCCASQSFEME-QMMMGPOBSA-N,N[C@@H](Cc1ccc(O)cc1)C(=O)O,6057.0
tyrosine 2,Tyrosine,Organic acids,Amino acids and peptides,Amino acids,C9H11NO3,181.073894,OUYCCCASQSFEME-QMMMGPOBSA-N,N[C@@H](Cc1ccc(O)cc1)C(=O)O,6057.0
Urea_ 2TMS derivative,Urea,Organic acids,Carboximidic acids,Ureas,CH4N2O,60.032363,XSQUKJJJFZCRTK-UHFFFAOYSA-N,NC(N)=O,1176.0
uric acid 1,Uric acid,Nucleic acids,Purines,Xanthines,C5H4N4O3,168.028341,LEHOTFFKMJEONL-UHFFFAOYSA-N,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,1175.0
uric acid 2,Uric acid,Nucleic acids,Purines,Xanthines,C5H4N4O3,168.028341,LEHOTFFKMJEONL-UHFFFAOYSA-N,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,1175.0
uridine,Uridine,Nucleic acids,Pyrimidines,Pyrimidine ribonucleosides,C9H12N2O6,244.069538,DRTQHJPVMGBUCF-XVFCMESISA-N,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,6029.0
Uridine_ 3TMS derivative,Uridine,Nucleic acids,Pyrimidines,Pyrimidine ribonucleosides,C9H12N2O6,244.069538,DRTQHJPVMGBUCF-XVFCMESISA-N,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,6029.0
xanthine,Xanthine,Nucleic acids,Purines,Xanthines,C5H4N4O2,152.033426,LRFVTYWOQMYALW-UHFFFAOYSA-N,O=c1[nH]c(=O)c2nc[nH]c2[nH]1,1188.0
xylitol,Xylitol,Carbohydrates,Monosaccharides,Sugar alcohols,C5H12O5,152.068475,HEBKCHPVOIAQTA-SCDXWVJYSA-N,OC[C@@H](O)[C@H](O)[C@@H](O)CO,6912.0
xylose 1,Xylose,Carbohydrates,Monosaccharides,Pentoses,C5H10O5,150.052825,SRBFZHDQGSBBOR-IOVATXLUSA-N,OC1OC[C@@H](O)[C@H](O)[C@H]1O,135191.0
